weekday,total_steps,avg_steps,total_distance,avg_distance,total_very_active_minutes,avg_very_active_minutes,total_lightly_active_minutes,avg_lightly_active_minutes,total_sedentary_minutes,avg_sedentary_minutes,total_calories,avg_calories,n_records
Sun,838921,838921,608.2899989169092,608.2899989169092,2418,19.983471074380166,21051,173.97520661157026,119821,990.2561983471074,273823,2263,121
Mon,933704,933704,666.3499992266298,666.3499992266298,2773,23.108333333333334,23047,192.05833333333334,123353,1027.9416666666666,278905,2324.2083333333335,120
Tue,1235001,1235001,886.499994823709,886.499994823709,3489,22.95394736842105,29996,197.3421052631579,153119,1007.3618421052631,358114,2356.0131578947367,152
Wed,1133906,1133906,823.2499991748482,823.2499991748482,3117,20.78,28478,189.85333333333332,148422,989.48,345393,2302.62,150
Thu,1088658,1088658,780.900003755465,780.900003755465,2853,19.408163265306122,27257,185.42176870748298,141413,961.9931972789116,323337,2199.5714285714284,147
Fri,938477,938477,669.0499982871116,669.0499982871116,2527,20.055555555555557,25729,204.1984126984127,126039,1000.3095238095239,293805,2331.785714285714,126
Sat,1010969,1010969,725.9800004158169,725.9800004158169,2718,21.919354838709676,25686,207.1451612903226,119571,964.2822580645161,292016,2354.967741935484,124
